# logA H0 ns omch2 ombh2 tau ws wa mnu neff nrun
1.441585294051229805e-19 -3.249333872387437036e-08 2.205753633973981935e-12 6.118796819543101943e-13 2.409505132066851612e-14 1.043041646044787027e-10 4.398785417667299836e-10 2.184891024105793155e-09 2.442626911654457135e-10 5.350102246436230786e-11 1.189612383120285231e-12
-3.249333873016825529e-08 8.008939314830417970e+03 -4.979034530716149320e-01 -1.227967088707737076e-01 -5.194078668656567158e-03 -2.354089091785010623e+01 -1.783377977394573861e+02 -2.684515190854227171e+02 -7.063096121125472848e+01 -1.199097747820190030e+01 -2.450745225376920466e-01
2.205753634078909876e-12 -4.979034530038295436e-01 9.270088954855484236e-05 8.216464340911286163e-06 5.920709101037547062e-07 1.604480710475610344e-03 8.372696001930543183e-03 2.814889999478525570e-02 3.688778847363434824e-03 1.198028303327704821e-03 3.305376829136752259e-07
6.118796817617099936e-13 -1.227967088006168411e-01 8.216464337678695034e-06 7.124743758613570621e-06 1.750288324938281471e-07 4.369367732338713737e-04 -4.945897823147993441e-04 1.669874929372885605e-02 5.337135971020612671e-04 3.830966077440248977e-04 1.810572818376173968e-05
2.409505131950067697e-14 -5.194078667403144445e-03 5.920709100705110982e-07 1.750288325191250243e-07 1.060989568531047526e-08 1.736050019557731312e-05 5.904430755891712187e-05 3.981471839073989750e-04 3.813073109450878747e-05 1.495568312916629704e-05 4.713447249304046212e-07
1.043041646048953820e-10 -2.354089091339185913e+01 1.604480710405757366e-03 4.369367733749446162e-04 1.736050019648746357e-05 7.547751809837895121e-02 3.233314986588012863e-01 1.564757052628549694e+00 1.778977134950837646e-01 3.858644298056999183e-02 8.475026149456714019e-04
4.398785425846750212e-10 -1.783377979063174052e+02 8.372696013520463179e-03 -4.945897783018338200e-04 5.904430769088187350e-05 3.233314992492333784e-01 1.144389556393711160e+01 -2.311854606485287178e+01 2.931311654532808841e+00 1.660295194097383409e-01 2.315356042740018307e-03
2.184891021674828449e-09 -2.684515184351732842e+02 2.814889995776814410e-02 1.669874928652261697e-02 3.981471835437849966e-04 1.564757050863548216e+00 -2.311854608490999041e+01 1.223829153049537410e+02 -2.997871875254456420e+00 8.003819291966899341e-01 1.985151558277966147e-02
2.442626913463133556e-10 -7.063096124203904935e+01 3.688778849824295766e-03 5.337135981770468537e-04 3.813073112483618551e-05 1.778977136252373192e-01 2.931311653738389200e+00 -2.997871868458232392e+00 9.394849493411614461e-01 9.159271915798428143e-02 2.542962828127453504e-03
5.350102246449550333e-11 -1.199097747598059804e+01 1.198028303292565612e-03 3.830966078134233235e-04 1.495568312960537859e-05 3.858644298051733951e-02 1.660295191174626928e-01 8.003819300687077254e-01 9.159271909345934048e-02 3.088749073319065758e-02 1.151472654150444488e-03
1.189612383055820478e-12 -2.450745224772574449e-01 3.305376812469199500e-07 1.810572818489975894e-05 4.713447249290470392e-07 8.475026148959968362e-04 2.315356036587813693e-03 1.985151559949334399e-02 2.542962826702319622e-03 1.151472654126893883e-03 1.168411004450395217e-04
