# ell TT EE TE
350 0.000256688 0 0
450 0.000294304 0 0
550 0.000274125 0 0
650 0.000226949 0 0
750 0.000184855 0 0
850 0.000148437 0 0
950 0.000120298 0 0
1050 9.86718e-05 0 0
1150 8.23742e-05 0 0
1250 7.00301e-05 0 0
1350 6.03384e-05 0 0
1450 5.28523e-05 0 0
1550 4.66274e-05 0 0
1650 4.16102e-05 0 0
1750 3.74314e-05 0 0
1850 3.38934e-05 0 0
1950 3.09328e-05 0 0
2050 2.82972e-05 0 0
2150 2.58453e-05 0 0
2250 2.38376e-05 0 0
2350 2.19675e-05 0 0
2450 2.02177e-05 0 0
2550 1.86696e-05 0 0
2650 1.72875e-05 0 0
2750 1.59648e-05 0 0
2850 1.47868e-05 0 0
2950 1.37177e-05 0 0
3050 1.27148e-05 0 0
3150 1.18951e-05 0 0
3250 1.11688e-05 0 0
3350 1.04963e-05 0 0
3450 9.87604e-06 0 0
