# ell TT EE TE
24.5239 -3.80432e-07 -1.54319e-09 -1.30451e-08
98.8057 1.90216e-05 7.71597e-08 6.52257e-07
197.099 -0.0019208 -7.79159e-06 -6.58649e-05
295.155 0.193982 0.000786873 0.0066517
393.214 0.073936 0.000783522 0.000309383
491.272 0.0584667 0.000240328 -0.00131769
589.33 0.0383386 0.000338099 0.000316904
687.388 0.0240389 0.000445793 -0.00111026
785.447 0.0236452 0.000166238 -0.00080902
883.505 0.0144594 0.000184115 0.000341667
981.563 0.00680918 0.000247343 -0.00012923
1079.62 0.00606468 0.000106786 -0.00033039
1177.68 0.00446166 7.7323e-05 -9.58515e-06
1275.74 0.00270923 0.0001064 -0.000112749
1373.8 0.00249996 5.6023e-05 -0.000160801
1471.85 0.00186415 3.61974e-05 -1.00238e-05
1569.91 0.00104271 4.78841e-05 -1.92075e-05
1667.97 0.000833932 2.9408e-05 -5.89759e-05
1766.03 0.000671055 1.57016e-05 -2.0474e-05
1864.09 0.000435984 1.8349e-05 -1.53317e-05
1962.15 0.000353987 1.3225e-05 -2.62869e-05
2060.2 0.000285547 7.27402e-06 -1.11639e-05
2158.26 0.000183219 7.45369e-06 -4.66687e-06
2256.32 0.000134117 5.95952e-06 -8.84461e-06
2354.38 0.000109366 3.33382e-06 -5.85083e-06
2452.44 7.76892e-05 2.8316e-06 -3.06401e-06
2550.5 5.86298e-05 2.41094e-06 -3.79004e-06
2648.55 4.73412e-05 1.50095e-06 -2.69983e-06
2746.61 3.36853e-05 1.16876e-06 -1.276e-06
2844.67 2.4078e-05 1.00733e-06 -1.28635e-06
2942.73 1.9048e-05 6.72535e-07 -1.11811e-06
3040.79 1.44455e-05 4.78833e-07 -6.67988e-07
3138.84 1.08321e-05 3.99373e-07 -5.66335e-07
3236.9 8.54885e-06 2.89237e-07 -4.78805e-07
3334.96 6.48157e-06 2.07586e-07 -2.91813e-07
3433.02 5.09901e-06 1.7725e-07 -2.18862e-07
3531.08 -5.04902e-08 -1.75512e-09 2.16717e-09
3629.14 4.99952e-10 1.73791e-11 -2.14592e-11
3727.19 -4.95051e-12 -1.72087e-13 2.12488e-13
3825.25 4.90197e-14 1.704e-15 -2.10405e-15
3923.31 -4.85392e-16 -1.6873e-17 2.08342e-17
4021.37 4.80633e-18 1.67075e-19 -2.063e-19
4119.43 -4.75921e-20 -1.65437e-21 2.04277e-21
4217.49 4.71255e-22 1.63815e-23 -2.02274e-23
4315.54 -4.66635e-24 -1.62209e-25 2.00291e-25
4413.6 4.6206e-26 1.60619e-27 -1.98328e-27
4511.66 -4.5753e-28 -1.59044e-29 1.96383e-29
4609.72 4.53044e-30 1.57485e-31 -1.94458e-31
4707.77 -4.48603e-32 -1.55941e-33 1.92551e-33
4806.08 4.44249e-34 1.54428e-35 -1.90683e-35
4879.38 -8.88498e-36 -3.08856e-37 3.81365e-37
