# ell TT EE TE
12.0457 2.67053e-11 8.1315e-14 8.67909e-13
48.8581 -6.67632e-10 -2.03287e-12 -2.16977e-11
97.1929 3.40225e-08 1.03595e-10 1.10572e-09
145.302 -1.73448e-06 -5.28133e-09 -5.63698e-08
193.415 8.84246e-05 2.69244e-07 2.87376e-06
241.528 -0.00450792 -1.37262e-05 -0.000146505
289.642 0.229815 0.000699765 0.00746889
337.755 0.12479 0.000877784 0.00433053
385.868 0.0666761 0.00080291 -1.5173e-05
433.981 0.0582293 0.000480127 -0.00199114
482.094 0.0588619 0.000205165 -0.00137486
530.208 0.0510418 0.000175585 7.03669e-06
578.321 0.0373133 0.000336142 0.00045883
626.434 0.0266597 0.000478241 -0.000250442
674.547 0.0231732 0.000455245 -0.00118531
722.66 0.0239436 0.000297839 -0.00141334
770.774 0.0237333 0.000148903 -0.000820155
818.887 0.0200068 0.000114719 -2.13003e-06
867 0.0141242 0.000181181 0.000405849
915.113 0.00903041 0.000252791 0.000251346
963.226 0.00645763 0.00025218 -0.000149104
1011.34 0.00598212 0.000180962 -0.000395926
1059.45 0.00605548 9.9344e-05 -0.000343438
1107.57 0.00554006 6.19653e-05 -0.000133447
1155.68 0.00438861 7.45312e-05 1.12478e-05
1203.79 0.00323614 0.000102052 -6.18882e-06
1251.91 0.00260469 0.000108323 -0.000116181
1300.02 0.00248294 8.57033e-05 -0.000190538
1348.13 0.00248868 5.33722e-05 -0.000165795
1396.25 0.0022865 3.41102e-05 -7.71607e-05
1444.36 0.00183926 3.45841e-05 -2.24681e-06
1492.47 0.00134381 4.42481e-05 1.29697e-05
1540.58 0.00100184 4.85336e-05 -1.88778e-05
1588.7 0.000860327 4.16128e-05 -5.40492e-05
1636.81 0.000823885 2.85421e-05 -6.12763e-05
1684.92 0.000773534 1.81225e-05 -4.19429e-05
1733.04 0.000663509 1.4856e-05 -1.82425e-05
1781.15 0.000527933 1.66662e-05 -8.75015e-06
1829.26 0.000422619 1.84776e-05 -1.47145e-05
1877.38 0.000369859 1.70679e-05 -2.45187e-05
1925.49 0.000349139 1.29866e-05 -2.70057e-05
1973.6 0.000325848 8.92608e-06 -2.02859e-05
2021.72 0.000282575 6.91723e-06 -1.04591e-05
2069.83 0.000227111 6.91396e-06 -4.41767e-06
2117.94 0.000178169 7.44431e-06 -4.25218e-06
2166.06 0.000147182 7.177e-06 -7.13904e-06
2214.17 0.000131619 5.89481e-06 -9.05783e-06
2262.28 0.000121248 4.30383e-06 -8.22676e-06
2310.4 0.000108197 3.19335e-06 -5.68879e-06
2358.51 9.17603e-05 2.79999e-06 -3.5287e-06
2406.62 7.60198e-05 2.80032e-06 -2.88371e-06
2454.74 6.45952e-05 2.73381e-06 -3.35754e-06
2502.85 5.76138e-05 2.39187e-06 -3.8282e-06
2550.96 5.25287e-05 1.88669e-06 -3.56023e-06
2599.08 4.68516e-05 1.45261e-06 -2.65591e-06
