# ell TT EE TE PP
24.5239 -3.81504e-07 -1.54777e-09 -1.30806e-08 3.92711e-13
98.8057 1.90752e-05 7.73885e-08 6.54031e-07 1.43949e-14
197.099 -0.00192621 -7.81469e-06 -6.6044e-05 1.55131e-16
295.155 0.194528 0.000789206 0.00666979 3.10019e-17
393.214 0.0741498 0.000785612 0.000309104 6.54962e-18
491.272 0.0586503 0.000240914 -0.00132094 1.95224e-18
589.33 0.0384601 0.000339255 0.000317798 7.13746e-19
687.388 0.0241234 0.000447028 -0.00111434 3.03521e-19
785.447 0.0237237 0.000166664 -0.00081064 1.44567e-19
883.505 0.0145038 0.00018481 0.000342928 7.49636e-20
981.563 0.00683109 0.000248123 -0.000130058 4.15127e-20
1079.62 0.00608458 0.000107039 -0.000331248 2.42623e-20
1177.68 0.00447448 7.75948e-05 -9.53927e-06 1.48493e-20
1275.74 0.00271717 0.000106701 -0.000113189 9.45451e-21
1373.8 0.00250738 5.61381e-05 -0.000161156 6.22443e-21
1471.85 0.00186897 3.6321e-05 -9.96951e-06 4.21586e-21
1569.91 0.00104558 4.80188e-05 -1.93386e-05 2.92671e-21
1667.97 0.000836558 2.9462e-05 -5.91366e-05 2.07682e-21
1766.03 0.000672935 1.57508e-05 -2.04875e-05 1.50304e-21
1864.09 0.000437246 1.84026e-05 -1.54004e-05 1.10714e-21
1962.15 0.000355152 1.32499e-05 -2.63575e-05 8.28492e-22
2060.2 0.000286411 7.29567e-06 -1.11679e-05 6.28807e-22
2158.26 0.000183797 7.47661e-06 -4.68847e-06 4.83398e-22
2256.32 0.00013464 5.97194e-06 -8.87409e-06 3.75987e-22
2354.38 0.000109792 3.34342e-06 -5.85771e-06 2.95608e-22
2452.44 7.80075e-05 2.8412e-06 -3.07476e-06 2.34728e-22
2550.5 5.8915e-05 2.41723e-06 -3.80376e-06 1.88092e-22
2648.55 4.75813e-05 1.50579e-06 -2.70459e-06 1.51989e-22
2746.61 3.38786e-05 1.17312e-06 -1.28001e-06 1.23772e-22
2844.67 2.42536e-05 1.01057e-06 -1.29124e-06 1.01524e-22
2942.73 1.92061e-05 6.75229e-07 -1.12046e-06 8.3839e-23
3040.79 1.45837e-05 4.81226e-07 -6.70344e-07 6.96716e-23
3138.84 1.09581e-05 4.01331e-07 -5.69417e-07 5.82397e-23
3236.9 8.66586e-06 2.90962e-07 -4.81019e-07 4.89526e-23
3334.96 6.58913e-06 2.09123e-07 -2.93422e-07 4.13462e-23
3433.02 5.20185e-06 1.78624e-07 -2.20331e-07 3.6467e-23
3531.08 -5.15086e-08 -1.76873e-09 2.18171e-09 -3.61095e-25
3629.14 5.10036e-10 1.75139e-11 -2.16032e-11 3.57555e-27
3727.19 -5.05035e-12 -1.73422e-13 2.13914e-13 -3.54049e-29
3825.25 5.00084e-14 1.71722e-15 -2.11817e-15 3.50578e-31
3923.31 -4.95181e-16 -1.70038e-17 2.0974e-17 -3.47141e-33
4021.37 4.90327e-18 1.68371e-19 -2.07684e-19 3.43738e-35
4119.43 -4.85519e-20 -1.6672e-21 2.05648e-21 -3.40368e-37
4217.49 4.80759e-22 1.65086e-23 -2.03632e-23 3.37031e-39
4315.54 -4.76046e-24 -1.63467e-25 2.01635e-25 -3.33727e-41
4413.6 4.71379e-26 1.61865e-27 -1.99658e-27 3.30455e-43
4511.66 -4.66758e-28 -1.60278e-29 1.97701e-29 -3.27215e-45
4609.72 4.62182e-30 1.58707e-31 -1.95763e-31 3.24007e-47
4707.77 -4.5765e-32 -1.57151e-33 1.93843e-33 -3.20831e-49
4806.08 4.53209e-34 1.55626e-35 -1.91962e-35 3.17717e-51
4879.38 -9.06418e-36 -3.11251e-37 3.83925e-37 -6.35434e-53
