# ell TT EE TE
0 0 0 0
98.8057 0 0 0
197.099 0 0 0
295.155 0.194528 0.000789206 0.00666979
393.214 0.0741498 0.000785612 0.000309104
491.272 0.0586503 0.000240914 -0.00132094
589.33 0.0384601 0.000339255 0.000317798
687.388 0.0241234 0.000447028 -0.00111434
785.447 0.0237237 0.000166664 -0.00081064
883.505 0.0145038 0.00018481 0.000342928
981.563 0.00683109 0.000248123 -0.000130058
1079.62 0.00608458 0.000107039 -0.000331248
1177.68 0.00447448 7.75948e-05 -9.53927e-06
1275.74 0.00271717 0.000106701 -0.000113189
1373.8 0.00250738 5.61381e-05 -0.000161156
1471.85 0.00186897 3.6321e-05 -9.96951e-06
1569.91 0.00104558 4.80188e-05 -1.93386e-05
1667.97 0.000836558 2.9462e-05 -5.91366e-05
1766.03 0.000672935 1.57508e-05 -2.04875e-05
1864.09 0.000437246 1.84026e-05 -1.54004e-05
1962.15 0.000355152 1.32499e-05 -2.63575e-05
2060.2 0.000286411 7.29567e-06 -1.11679e-05
2158.26 0.000183797 7.47661e-06 -4.68847e-06
2256.32 0.00013464 5.97194e-06 -8.87409e-06
2354.38 0.000109792 3.34342e-06 -5.85771e-06
2452.44 7.80075e-05 2.8412e-06 -3.07476e-06
2550.5 5.8915e-05 2.41723e-06 -3.80376e-06
2648.55 4.75813e-05 1.50579e-06 -2.70459e-06
2746.61 3.38786e-05 1.17312e-06 -1.28001e-06
2844.67 2.42536e-05 1.01057e-06 -1.29124e-06
2942.73 1.92061e-05 6.75229e-07 -1.12046e-06
3040.79 1.45837e-05 4.81226e-07 -6.70344e-07
3138.84 1.09581e-05 4.01331e-07 -5.69417e-07
3236.9 8.66586e-06 2.90962e-07 -4.81018e-07
3334.96 6.58913e-06 2.09209e-07 -2.93472e-07
3433.02 0 1.69936e-07 -2.15301e-07
3531.08 0 1.28378e-07 -1.88188e-07
3629.14 0 9.23012e-08 -1.35087e-07
3727.19 0 7.21323e-08 -9.97723e-08
3825.25 0 5.61458e-08 -8.22396e-08
3923.31 0 0 0
4021.37 0 0 0
4119.43 0 0 0
4217.49 0 0 0
4315.54 0 0 0
4413.6 0 0 0
4511.66 0 0 0
4609.72 0 0 0
4707.77 0 0 0
4806.08 0 0 0
0 0 0 0
