# ell TT
350 0.144448
450 0.0615956
550 0.0521701
650 0.0288823
750 0.0246208
850 0.0204845
950 0.00982616
1050 0.00627957
1150 0.00565557
1250 0.00345314
1350 0.00259247
1450 0.00233732
1550 0.00142516
1650 0.000909056
1750 0.000793491
1850 0.000554219
1950 0.000388781
2050 0.000335009
2150 0.000237329
2250 0.000155224
2350 0.000125282
2450 9.53981e-05
2550 6.76868e-05
2650 5.43182e-05
2750 4.14662e-05
2850 2.87418e-05
2950 2.18273e-05
3050 1.71183e-05
3150 1.27154e-05
3250 9.82432e-06
3350 7.68103e-06
3450 5.67786e-06
3550 4.27256e-06
3650 3.36253e-06
3750 2.61882e-06
3850 2.04719e-06
3950 1.62591e-06
4050 1.27342e-06
4150 9.95761e-07
4250 7.99185e-07
4350 6.50146e-07
4450 5.30636e-07
