# ell TT
350 0.000485837
450 0.000333453
550 0.000249981
650 0.000193474
750 0.000157585
850 0.000130215
950 0.000109572
1050 9.33121e-05
1150 8.05226e-05
1250 7.03596e-05
1350 6.18652e-05
1450 5.50018e-05
1550 4.89674e-05
1650 4.39884e-05
1750 3.96738e-05
1850 3.60246e-05
1950 3.29206e-05
2050 3.01604e-05
2150 2.76146e-05
2250 2.55825e-05
2350 2.37141e-05
2450 2.20087e-05
2550 2.05417e-05
2650 1.92826e-05
2750 1.80733e-05
2850 1.70274e-05
2950 1.60736e-05
3050 1.51475e-05
3150 1.43926e-05
3250 1.3722e-05
3350 1.30933e-05
3450 1.24708e-05
3550 1.18993e-05
3650 1.14329e-05
3750 1.09814e-05
3850 1.05632e-05
3950 1.0179e-05
4050 9.81011e-06
4150 9.4945e-06
4250 9.18088e-06
4350 8.90626e-06
4450 8.64163e-06
