# As h ns omch2 ombh2 tau ws wa mnu neff nrun
4.357798702712345738e-19 -3.288016151898332975e-10 2.102775120312447102e-12 6.517703275540957802e-13 2.215659868042024257e-14 1.036163526246869803e-10 5.214364833017344752e-10 1.905766616084350282e-09 2.690724417695626634e-10 5.650389852259105573e-11 1.867263672157449122e-12
-3.288016151045445657e-10 2.742309561858127243e-01 -1.435939036665768954e-03 -3.944576588570390435e-04 -1.555870852817249934e-05 -7.832558920521238977e-02 -7.043230981159871451e-01 -5.444149143512164724e-01 -2.668587454575803708e-01 -4.004386031252797629e-02 -1.256904130629250783e-03
2.102775120593859763e-12 -1.435939037277177447e-03 4.406667154016215678e-05 1.793405228259337948e-06 1.889186551122048845e-07 5.057335272677671717e-04 1.646587150827472611e-03 1.128581459211444246e-02 9.115244549361091117e-04 4.397744367677783924e-04 -3.412383935248032417e-06
6.517703279616213743e-13 -3.944576592972540738e-04 1.793405229726796482e-06 3.684167710457569520e-06 6.926967210167919708e-08 1.514284550112878717e-04 -7.644940882781188669e-04 7.708496496868195470e-03 7.641025149598961060e-05 1.695065952227312511e-04 1.061942427011308364e-05
2.215659868319491881e-14 -1.555870853449198854e-05 1.889186551112006476e-07 6.926967208581596404e-08 3.469773592935241066e-09 5.231037687443530587e-06 1.558551027343503824e-05 1.277548525309084684e-04 1.130554614770770726e-05 5.431086134046065326e-06 2.328672154784251750e-07
1.036163526239885943e-10 -7.832558922495019837e-02 5.057335271976345784e-04 1.514284549133730856e-04 5.231037686749670843e-06 2.464286962331452974e-02 1.265758794902365481e-01 4.447659258470404442e-01 6.457051897679132180e-02 1.336087684563743577e-02 4.354778436314921163e-04
5.214364821623822068e-10 -7.043230973492458080e-01 1.646587145189665549e-03 -7.644940904955571225e-04 1.558551021395229521e-05 1.265758792202862082e-01 4.741921165760735413e+00 -1.006681640349420803e+01 1.246806112603591643e+00 3.818572195663132163e-02 6.776189884149130165e-04
1.905766619513371263e-09 -5.444149173489997162e-01 1.128581460680488230e-02 7.708496500244529405e-03 1.277548526874850701e-04 4.447659266651408649e-01 -1.006681639427430497e+01 4.593800850591092910e+01 -1.695297105980487329e+00 3.346949102144449739e-01 1.223440795867763650e-02
2.690724415104253306e-10 -2.668587453109599328e-01 9.115244535621625822e-04 7.641025085885772960e-05 1.130554613327288518e-05 6.457051891562058665e-02 1.246806112974564007e+00 -1.695297109193984797e+00 3.949470923257837329e-01 2.865455044860555980e-02 1.167017336541060872e-03
5.650389853015856280e-11 -4.004386032915983190e-02 4.397744367670606506e-04 1.695065951823401123e-04 5.431086134065570800e-06 1.336087684752490512e-02 3.818572211079254708e-02 3.346949098116980270e-01 2.865455048613714875e-02 1.273652471019828120e-02 6.445239356834227057e-04
1.867263672490470905e-12 -1.256904131223177817e-03 -3.412383934830346918e-06 1.061942426899500353e-05 2.328672154837252984e-07 4.354778437134231061e-04 6.776189933558612747e-04 1.223440794650092200e-02 1.167017337773634811e-03 6.445239356955908151e-04 7.148688210440389771e-05
