# ell TT EE TE
24.5239 -3.81508e-07 -1.54779e-09 -1.30808e-08
98.8057 1.90754e-05 7.73894e-08 6.54039e-07
197.099 -0.00192624 -7.81479e-06 -6.60448e-05
295.155 0.194531 0.000789216 0.00666987
393.214 0.0741511 0.000785626 0.000309104
491.272 0.058652 0.000240921 -0.00132097
589.33 0.0384616 0.00033927 0.00031781
687.388 0.0241247 0.000447053 -0.0011144
785.447 0.0237255 0.000166676 -0.000810696
883.505 0.0145051 0.000184828 0.00034296
981.563 0.00683186 0.000248151 -0.000130075
1079.62 0.00608541 0.000107054 -0.000331292
1177.68 0.0044752 7.76076e-05 -9.5405e-06
1275.74 0.00271767 0.000106722 -0.000113211
1373.8 0.00250792 5.61502e-05 -0.000161192
1471.85 0.00186943 3.63301e-05 -9.9714e-06
1569.91 0.00104587 4.80324e-05 -1.93442e-05
1667.97 0.000836813 2.94712e-05 -5.91556e-05
1766.03 0.000673159 1.57562e-05 -2.04944e-05
1864.09 0.0004374 1.84097e-05 -1.54063e-05
1962.15 0.000355286 1.32554e-05 -2.63688e-05
2060.2 0.000286522 7.29873e-06 -1.11727e-05
2158.26 0.000183861 7.48005e-06 -4.69029e-06
2256.32 0.00013468 5.97474e-06 -8.87865e-06
2354.38 0.000109818 3.34477e-06 -5.86066e-06
2452.44 7.80098e-05 2.84229e-06 -3.07591e-06
2550.5 5.89004e-05 2.41803e-06 -3.80556e-06
2648.55 4.75526e-05 1.50591e-06 -2.70562e-06
2746.61 3.3832e-05 1.17293e-06 -1.27976e-06
2844.91 2.41801e-05 1.00938e-06 -1.28985e-06
2918.6 2.02111e-05 7.49514e-07 -1.24322e-06
