# logA H0 ns omch2 ombh2 tau ws wa mnu neff nrun
1.983065515261452675e-19 -4.423073795441499958e-08 3.068595263663415559e-12 8.034961064138139047e-13 3.398151118301222438e-14 1.434887695876554159e-10 5.486139801368944393e-10 3.171861092645156447e-09 3.207383532239922329e-10 7.125976971686822978e-11 1.267770393831293299e-12
-4.423073795071113626e-08 1.073976755592803602e+04 -6.962790515508520128e-01 -1.633447576107364685e-01 -7.281937123966992532e-03 -3.204017822870936527e+01 -2.215972254107644517e+02 -4.293911766458352304e+02 -9.057205026709819151e+01 -1.597312740066579195e+01 -2.587856390964061726e-01
3.068595263496558528e-12 -6.962790515662474755e-01 1.136385110333614732e-04 1.168575149848429873e-05 8.370440283898831609e-07 2.229171174200901811e-03 1.181800912249166523e-02 3.871535426313944123e-02 5.242221750562518420e-03 1.576282391614394806e-03 1.832285802749119932e-06
8.034961065361149614e-13 -1.633447576523038292e-01 1.168575150090376703e-05 8.230472088661415614e-06 2.213956532674504062e-07 5.750986533085931116e-04 -2.499170369826471416e-04 2.063501939121754891e-02 7.697959189247450922e-04 4.664221574977720137e-04 1.945378881855584576e-05
3.398151118317613705e-14 -7.281937124639937739e-03 8.370440284205040372e-07 2.213956532471698963e-07 1.492020207606816321e-08 2.450624017904042237e-05 8.399568993477627310e-05 5.521787818834992005e-04 5.442663446022030652e-05 1.990409447866571307e-05 5.311436296734832671e-07
1.434887695873867632e-10 -3.204017823133198561e+01 2.229171174317844291e-03 5.750986532189964872e-04 2.450624017887562364e-05 1.038345816363339530e-01 4.028044868860694017e-01 2.276554253307891518e+00 2.334278314806570720e-01 5.142573081887077957e-02 9.033082471819214344e-04
5.486139796496691353e-10 -2.215972253152064297e+02 1.181800911610474993e-02 -2.499170392715459213e-04 8.399568985041169669e-05 4.028044865341140479e-01 1.400932103404221252e+01 -2.783209234218944772e+01 3.549989488475929544e+00 2.252362709289699727e-01 2.753707957066086308e-03
3.171861094096890682e-09 -4.293911770167780446e+02 3.871535428612091212e-02 2.063501939516096048e-02 5.521787821311541786e-04 2.276554254362867180e+00 -2.783209233084529899e+01 1.599484685140118643e+02 -3.013790952801578271e+00 1.049640673894261411e+00 1.962357041612037764e-02
3.207383531167442857e-10 -9.057205025053069392e+01 5.242221749345710516e-03 7.697959182796634478e-04 5.442663444142619718e-05 2.334278314035000690e-01 3.549989489061794679e+00 -3.013790957042803420e+00 1.155201804158384471e+00 1.221997522964867883e-01 2.896446904041183063e-03
7.125976971612313392e-11 -1.597312740183295077e+01 1.576282391663976455e-03 4.664221574511163548e-04 1.990409447847607595e-05 5.142573081842728017e-02 2.252362711012860508e-01 1.049640673364009347e+00 1.221997523334209385e-01 3.879753369563072180e-02 1.254934943192369343e-03
1.267770393881162839e-12 -2.587856391414118384e-01 1.832285804878012096e-06 1.945378881772938894e-05 5.311436296798579312e-07 9.033082472203194302e-04 2.753707961614336105e-03 1.962357040382525092e-02 2.896446905087366169e-03 1.254934943218062766e-03 1.258489771266110065e-04
