# CID,IDSURVEY,zCMB,zHD,zHEL,MU,MUERR_FINAL
0,0,0.03371,0.03371,0.03371,35.9354,0.00246
1,1,0.05239,0.05239,0.05239,36.9219,0.00298
2,2,0.07423,0.07423,0.07423,37.7115,0.00343
3,3,0.09565,0.09565,0.09565,38.2934,0.00274
4,4,0.119,0.119,0.119,38.8008,0.00229
5,5,0.14309,0.14309,0.14309,39.2341,0.00187
6,6,0.16884,0.16884,0.16884,39.6275,0.00159
7,7,0.19688,0.19688,0.19688,39.9968,0.00136
8,8,0.22678,0.22678,0.22678,40.3405,0.00122
9,9,0.25892,0.25892,0.25892,40.666,0.00104
10,10,0.29398,0.29398,0.29398,40.9811,0.001
11,11,0.33168,0.33168,0.33168,41.2835,0.001
12,12,0.37345,0.37345,0.37345,41.5836,0.00103
13,13,0.41782,0.41782,0.41782,41.8701,0.00113
14,14,0.46655,0.46655,0.46655,42.1539,0.00146
15,15,0.52438,0.52438,0.52438,42.457,0.002
16,16,0.58776,0.58776,0.58776,42.7551,0.00254
17,17,0.65724,0.65724,0.65724,43.0488,0.00388
18,18,0.73682,0.73682,0.73682,43.351,0.0075
19,19,0.83289,0.83289,0.83289,43.6765,0.01589
