# CID,IDSURVEY,zCMB,zHD,zHEL,MU,MUERR_FINAL
0,0,0.03371,0.03371,0.03371,35.8522,0.00246
1,1,0.05239,0.05239,0.05239,36.8388,0.00298
2,2,0.07423,0.07423,0.07423,37.6286,0.00343
3,3,0.09565,0.09565,0.09565,38.2106,0.00274
4,4,0.119,0.119,0.119,38.7181,0.00229
5,5,0.14309,0.14309,0.14309,39.1516,0.00187
6,6,0.16884,0.16884,0.16884,39.5452,0.00159
7,7,0.19688,0.19688,0.19688,39.9147,0.00136
8,8,0.22678,0.22678,0.22678,40.2585,0.00122
9,9,0.25892,0.25892,0.25892,40.5843,0.00104
10,10,0.29398,0.29398,0.29398,40.8996,0.001
11,11,0.33168,0.33168,0.33168,41.2022,0.001
12,12,0.37345,0.37345,0.37345,41.5025,0.00103
13,13,0.41782,0.41782,0.41782,41.7893,0.00113
14,14,0.46655,0.46655,0.46655,42.0735,0.00146
15,15,0.52438,0.52438,0.52438,42.3768,0.002
16,16,0.58776,0.58776,0.58776,42.6753,0.00254
17,17,0.65724,0.65724,0.65724,42.9694,0.00388
18,18,0.73682,0.73682,0.73682,43.2719,0.0075
19,19,0.83289,0.83289,0.83289,43.5979,0.01589
